index,ERR3452799,ERR3452809,ERR3452806,ERR3452805,ERR3452791,ERR3452792,ERR3452802,ERR3452811,ERR3452814,ERR3452803,ERR3452812,ERR3452801,ERR3452810,ERR3452807,ERR3452804,ERR3452800,ERR3452808,ERR3452813
ERR3452799,0.0,0.6565764613394609,0.8583750373690068,0.6242453036940405,0.7171891833803197,0.6895270016599374,0.4133146894570134,0.8476726396944386,0.8215960094829395,0.7296777460449405,0.9780068889735398,0.7119042200833174,0.8144668707806532,0.7488090957564808,0.7187408356487506,0.7541487271650342,0.5136176437177015,0.8157922879119095
ERR3452809,0.6565764613394609,0.0,0.33320265291101336,0.42258136776899724,0.3915518918342824,0.4978677909121213,0.5206942083476096,0.47297124990085854,0.3925338608718179,0.4528713593499918,0.6002250717174482,0.3316774467243316,0.3282113014109595,0.31938419827377607,0.3775969116411124,0.3429431250818088,0.2726291237585193,0.30707407684106613
ERR3452806,0.8583750373690068,0.33320265291101336,0.0,0.5750616426622295,0.4891497165512373,0.6256419725574702,0.7122395013075131,0.2782784629287751,0.23944107352220523,0.5717002800807933,0.3550068028061673,0.4767233265271574,0.2473505170918851,0.29465578194309483,0.49084916183450145,0.455744469023255,0.4760322424292503,0.16177582647751285
ERR3452805,0.6242453036940405,0.42258136776899724,0.5750616426622295,0.0,0.24295500952308424,0.2285988195435087,0.4146912554902852,0.6188246684296176,0.621799260632321,0.29722699737556835,0.7771747519461942,0.28541005777319445,0.4729223183835825,0.4417546452685242,0.26321738263359906,0.3022148299822002,0.35302186940602115,0.518148162075873
ERR3452791,0.7171891833803197,0.3915518918342824,0.4891497165512373,0.24295500952308424,0.0,0.2728671069127683,0.4410649422320894,0.5575538605371386,0.6097930642194525,0.2672051599811711,0.7188413967770018,0.24787616347896912,0.40106475255409485,0.40650449489887464,0.176168260595712,0.20514588414411083,0.3312252297075405,0.4407369303517546
ERR3452792,0.6895270016599374,0.4978677909121213,0.6256419725574702,0.2285988195435087,0.2728671069127683,0.0,0.4454284090971689,0.7000160398208076,0.714524306934697,0.32973317824101234,0.8492728508812774,0.32956844973024135,0.5357613745126382,0.47442463076988217,0.2702534017766927,0.3045533027423298,0.45067060640660306,0.5712270024693078
ERR3452802,0.4133146894570134,0.5206942083476096,0.7122395013075131,0.4146912554902852,0.4410649422320894,0.4454284090971689,0.0,0.7014073025110119,0.7516785435590507,0.4852263005411468,0.9176872478488769,0.44562064046176464,0.5997615555058533,0.5924592840299497,0.4524571347100361,0.49041998030326195,0.3710638537658315,0.6680906440832574
ERR3452811,0.8476726396944386,0.47297124990085854,0.2782784629287751,0.6188246684296176,0.5575538605371386,0.7000160398208076,0.7014073025110119,0.0,0.27427899014899143,0.6338097179454808,0.37098827453962685,0.5328728342867541,0.35511372691226867,0.3678372543287491,0.5619530849882356,0.5536184746879717,0.5439264971521562,0.3450475931005561
ERR3452814,0.8215960094829395,0.3925338608718179,0.23944107352220523,0.621799260632321,0.6097930642194525,0.714524306934697,0.7516785435590507,0.27427899014899143,0.0,0.6462686469032435,0.3156339418274619,0.5463306219658985,0.3255630608602115,0.34959451930800733,0.5992857586913132,0.5693492685903697,0.5017192628857821,0.2662208339482971
ERR3452803,0.7296777460449405,0.4528713593499918,0.5717002800807933,0.29722699737556835,0.2672051599811711,0.32973317824101234,0.4852263005411468,0.6338097179454808,0.6462686469032435,0.0,0.7564049647129271,0.28016766363829926,0.4703766034740063,0.46319565553084413,0.24903903549650575,0.24708932274321727,0.4004656696216997,0.5149662685065837
ERR3452812,0.9780068889735398,0.6002250717174482,0.3550068028061673,0.7771747519461942,0.7188413967770018,0.8492728508812774,0.9176872478488769,0.37098827453962685,0.3156339418274619,0.7564049647129271,0.0,0.6966723912107049,0.44578151816892775,0.5036596042417896,0.708429770803339,0.6648945623750637,0.6953958210650727,0.3980100097921412
ERR3452801,0.7119042200833174,0.3316774467243316,0.4767233265271574,0.28541005777319445,0.24787616347896912,0.32956844973024135,0.44562064046176464,0.5328728342867541,0.5463306219658985,0.28016766363829926,0.6966723912107049,0.0,0.3821105540625577,0.38793188679654883,0.23452223265051592,0.2398521737539845,0.33358599075705053,0.4286246009252168
ERR3452810,0.8144668707806532,0.3282113014109595,0.2473505170918851,0.4729223183835825,0.40106475255409485,0.5357613745126382,0.5997615555058533,0.35511372691226867,0.3255630608602115,0.4703766034740063,0.44578151816892775,0.3821105540625577,0.0,0.2561306914851457,0.39996624711152196,0.3676156280479318,0.41929762316383784,0.20269012754666782
ERR3452807,0.7488090957564808,0.31938419827377607,0.29465578194309483,0.4417546452685242,0.40650449489887464,0.47442463076988217,0.5924592840299497,0.3678372543287491,0.34959451930800733,0.46319565553084413,0.5036596042417896,0.38793188679654883,0.2561306914851457,0.0,0.37147211958218584,0.3628684130351611,0.3880644508723758,0.21713383362413485
ERR3452804,0.7187408356487506,0.3775969116411124,0.49084916183450145,0.26321738263359906,0.176168260595712,0.2702534017766927,0.4524571347100361,0.5619530849882356,0.5992857586913132,0.24903903549650575,0.708429770803339,0.23452223265051592,0.39996624711152196,0.37147211958218584,0.0,0.1594656566985363,0.36330615305827874,0.43649019841380254
ERR3452800,0.7541487271650342,0.3429431250818088,0.455744469023255,0.3022148299822002,0.20514588414411083,0.3045533027423298,0.49041998030326195,0.5536184746879717,0.5693492685903697,0.24708932274321727,0.6648945623750637,0.2398521737539845,0.3676156280479318,0.3628684130351611,0.1594656566985363,0.0,0.3786094637877185,0.40745957545324035
ERR3452808,0.5136176437177015,0.2726291237585193,0.4760322424292503,0.35302186940602115,0.3312252297075405,0.45067060640660306,0.3710638537658315,0.5439264971521562,0.5017192628857821,0.4004656696216997,0.6953958210650727,0.33358599075705053,0.41929762316383784,0.3880644508723758,0.36330615305827874,0.3786094637877185,0.0,0.4253448424026069
ERR3452813,0.8157922879119095,0.30707407684106613,0.16177582647751285,0.518148162075873,0.4407369303517546,0.5712270024693078,0.6680906440832574,0.3450475931005561,0.2662208339482971,0.5149662685065837,0.3980100097921412,0.4286246009252168,0.20269012754666782,0.21713383362413485,0.43649019841380254,0.40745957545324035,0.4253448424026069,0.0
